RaceCategory,RaceRank,RacePoints
Stage Cat. 1,1,40.0
Stage Cat. 1,2,30.0
Stage Cat. 1,3,25.0
Stage Cat. 1,4,20.0
Stage Cat. 1,5,18.0
Stage Cat. 1,6,16.0
Stage Cat. 1,7,14.0
Stage Cat. 1,8,12.0
Stage Cat. 1,9,10.0
Stage Cat. 1,10,8.0
Stage Cat. 1,11,6.0
Stage Cat. 1,12,4.0
Stage Cat. 1,13,3.0
Stage Cat. 1,14,2.0
Stage Cat. 1,15,1.0
Stage Cat. 2,1,25.0
Stage Cat. 2,2,20.0
Stage Cat. 2,3,16.0
Stage Cat. 2,4,14.0
Stage Cat. 2,5,12.0
Stage Cat. 2,6,10.0
Stage Cat. 2,7,8.0
Stage Cat. 2,8,6.0
Stage Cat. 2,9,4.0
Stage Cat. 2,10,3.0
Stage Cat. 2,11,2.0
Stage Cat. 2,12,1.0
Tour Cat. 1,1,180.0
Tour Cat. 1,2,150.0
Tour Cat. 1,3,120.0
Tour Cat. 1,4,100.0
Tour Cat. 1,5,90.0
Tour Cat. 1,6,80.0
Tour Cat. 1,7,70.0
Tour Cat. 1,8,60.0
Tour Cat. 1,9,55.0
Tour Cat. 1,10,50.0
Tour Cat. 1,11,45.0
Tour Cat. 1,12,40.0
Tour Cat. 1,13,35.0
Tour Cat. 1,14,30.0
Tour Cat. 1,15,25.0
Tour Cat. 1,16,20.0
Tour Cat. 1,17,18.0
Tour Cat. 1,18,16.0
Tour Cat. 1,19,14.0
Tour Cat. 1,20,12.0
Tour Cat. 1,21,10.0
Tour Cat. 1,22,8.0
Tour Cat. 1,23,6.0
Tour Cat. 1,24,4.0
Tour Cat. 1,25,2.0
Tour Cat. 2,1,100.0
Tour Cat. 2,2,85.0
Tour Cat. 2,3,70.0
Tour Cat. 2,4,60.0
Tour Cat. 2,5,50.0
Tour Cat. 2,6,45.0
Tour Cat. 2,7,40.0
Tour Cat. 2,8,35.0
Tour Cat. 2,9,30.0
Tour Cat. 2,10,25.0
Tour Cat. 2,11,20.0
Tour Cat. 2,12,18.0
Tour Cat. 2,13,16.0
Tour Cat. 2,14,14.0
Tour Cat. 2,15,12.0
Tour Cat. 2,16,10.0
Tour Cat. 2,17,8.0
Tour Cat. 2,18,6.0
Tour Cat. 2,19,4.0
Tour Cat. 2,20,2.0
Stage Cat. 3,1,15.0
Stage Cat. 3,2,12.0
Stage Cat. 3,3,10.0
Stage Cat. 3,4,8.0
Stage Cat. 3,5,6.0
Stage Cat. 3,6,5.0
Stage Cat. 3,7,4.0
Stage Cat. 3,8,3.0
Stage Cat. 3,9,2.0
Stage Cat. 3,10,1.0
Tour Cat. 3,1,50.0
Tour Cat. 3,2,40.0
Tour Cat. 3,3,35.0
Tour Cat. 3,4,30.0
Tour Cat. 3,5,25.0
Tour Cat. 3,6,20.0
Tour Cat. 3,7,18.0
Tour Cat. 3,8,16.0
Tour Cat. 3,9,14.0
Tour Cat. 3,10,12.0
Tour Cat. 3,11,10.0
Tour Cat. 3,12,8.0
Tour Cat. 3,13,6.0
Tour Cat. 3,14,4.0
Tour Cat. 3,15,2.0
Classics Cat. 1,1,120.0
Classics Cat. 1,2,100.0
Classics Cat. 1,3,85.0
Classics Cat. 1,4,70.0
Classics Cat. 1,5,60.0
Classics Cat. 1,6,50.0
Classics Cat. 1,7,40.0
Classics Cat. 1,8,35.0
Classics Cat. 1,9,30.0
Classics Cat. 1,10,25.0
Classics Cat. 1,11,20.0
Classics Cat. 1,12,18.0
Classics Cat. 1,13,16.0
Classics Cat. 1,14,14.0
Classics Cat. 1,15,12.0
Classics Cat. 1,16,10.0
Classics Cat. 1,17,9.0
Classics Cat. 1,18,8.0
Classics Cat. 1,19,7.0
Classics Cat. 1,20,6.0
Classics Cat. 1,21,5.0
Classics Cat. 1,22,4.0
Classics Cat. 1,23,3.0
Classics Cat. 1,24,2.0
Classics Cat. 1,25,1.0
Classics Cat. 2,1,70.0
Classics Cat. 2,2,60.0
Classics Cat. 2,3,50.0
Classics Cat. 2,4,40.0
Classics Cat. 2,5,35.0
Classics Cat. 2,6,30.0
Classics Cat. 2,7,26.0
Classics Cat. 2,8,22.0
Classics Cat. 2,9,18.0
Classics Cat. 2,10,14.0
Classics Cat. 2,11,12.0
Classics Cat. 2,12,10.0
Classics Cat. 2,13,8.0
Classics Cat. 2,14,7.0
Classics Cat. 2,15,6.0
Classics Cat. 2,16,5.0
Classics Cat. 2,17,4.0
Classics Cat. 2,18,3.0
Classics Cat. 2,19,2.0
Classics Cat. 2,20,1.0
Classics Cat. 3,1,35.0
Classics Cat. 3,2,30.0
Classics Cat. 3,3,26.0
Classics Cat. 3,4,22.0
Classics Cat. 3,5,18.0
Classics Cat. 3,6,14.0
Classics Cat. 3,7,12.0
Classics Cat. 3,8,10.0
Classics Cat. 3,9,8.0
Classics Cat. 3,10,6.0
Classics Cat. 3,11,5.0
Classics Cat. 3,12,4.0
Classics Cat. 3,13,3.0
Classics Cat. 3,14,2.0
Classics Cat. 3,15,1.0
