,TeamName
0,Euskaltel - Euskadi
1,Uno-X Mobility
2,Israel - Premier Tech
3,Red Bull - BORA - hansgrohe
4,Team Visma - Lease a Bike
5,Tudor Pro Cycling Team
6,EF Education - EasyPost
7,Cofidis
8,Burgos Burpellet BH
9,UAE Emirates XRG
10,Lidl - Trek
11,Team Picnic PostNL
12,Toscana Factory Team Vini Fantini
13,Movistar Team
14,INEOS Grenadiers
15,Decathlon AG2R La Mondiale
16,Team Novo Nordisk
17,Bahrain Victorious
18,Caja Rural - Seguros RGA
19,Intermarché - Wanty
20,Groupama - FDJ
21,Equipo Kern Pharma
22,Q36.5 Pro Cycling Team
23,Wagner Bazin WB
24,Team Polti VisitMalta
25,XDS Astana Team
26,Soudal - Quick-Step
27,Alpecin - Deceuninck
28,Lotto
29,Team Jayco AlUla
30,VF Group - Bardiani CSF - Faizanè
31,Arkéa - BnB Hotels
32,Unibet Tietema Rockets
33,TotalEnergies
34,Team Flanders - Baloise
35,Australian National Team
