RACE,YEAR,STAGE_ID,STAGE_DATE,STAGE_NAME,STAGE_PROFILE,STAGE_TYPE,RANK,RIDER,TEAM,UCI_POINTS,PCS_POINTS,UPDATE_TIMESTAMP
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,1,Welsford Sam,Red Bull - BORA - hansgrohe,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,2,Brennan Matthew,Team Visma | Lease a Bike,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,3,Walls Matthew,Groupama - FDJ,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,4,Teutenberg Tim Torn,Lidl - Trek,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,5,Swift Ben,INEOS Grenadiers,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,6,Dehairs Simon,Alpecin - Deceuninck,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,7,Strong Corbin,Israel - Premier Tech,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,8,Oliveira Rui,UAE Team Emirates - XRG,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,9,Bauhaus Phil,Bahrain - Victorious,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,10,Mosca Jacopo,Lidl - Trek,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,11,Andresen Tobias Lund,Team Picnic PostNL,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,12,Uhlig Henri,Alpecin - Deceuninck,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,13,Gate Aaron,XDS Astana Team,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,14,Scott Cameron,Australia,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,15,Marit Arne,Intermarché - Wanty,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,16,Coquard Bryan,Cofidis,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,17,Canal Carlos,Movistar Team,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,18,Vendrame Andrea,Decathlon AG2R La Mondiale Team,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,19,Van Poppel Danny,Red Bull - BORA - hansgrohe,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,20,Raccagni Noviero Andrea,Soudal Quick-Step,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,21,Tesfatsion Natnael,Movistar Team,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,22,Stewart Campbell,Team Jayco AlUla,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,23,Williams Stephen,Israel - Premier Tech,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,24,Boven Lars,Alpecin - Deceuninck,0,0,2025-01-21 21:31:06
tour-down-under,2025,stage-1,2025-01-21,Stage 1,p2,Normal,25,Grondin Donavan,Arkéa - B&B Hotels,0,0,2025-01-21 21:31:06
